Course Name,Feedback,Language,Sentiment
Digital Marketing Fundamentals,کچھ معلومات پرانی محسوس ہوتی ہیں اور کئی موضوعات بہت مختصر بیان کیے گئے ہیں۔,Urdu,Negative
UI UX Design Essentials,界面设计的讲解非常清楚，练习也帮助我理解了用户体验的基本概念。,Chinese,Positive
UI UX Design Essentials,课程内容比较实用，不过可用性测试部分的练习有些少。,Chinese,Neutral
UI UX Design Essentials,最后的项目说明不够清楚，完成任务时遇到了不少困难。,Chinese,Negative
Graphic Design with Canva,Canva的实际操作非常有帮助，我学会了很多新的设计方法。,Chinese,Positive
Graphic Design with Canva,课程容易理解，但是高级设计技巧讲得不够深入。,Chinese,Neutral
Graphic Design with Canva,基础工具讲得太多，而复杂的设计项目却没有充分说明。,Chinese,Negative
Excel for Beginners,엑셀의 기본 기능을 실제 예제와 함께 배울 수 있어서 매우 유익했습니다.,Korean,Positive
Excel for Beginners,내용은 이해하기 쉽지만 연습 문제가 조금 더 많았으면 좋겠습니다.,Korean,Neutral
Excel for Beginners,일부 수식 설명이 부족해서 과제를 따라가는 데 어려움이 있었습니다.,Korean,Negative
Web Development Basics,웹사이트를 직접 만들어 보는 프로젝트가 있어서 학습에 큰 도움이 되었습니다.,Korean,Positive
Web Development Basics,기본적인 내용은 괜찮지만 주제 사이의 연결이 조금 갑작스럽습니다.,Korean,Neutral
Web Development Basics,과제 안내가 충분하지 않아서 코딩 작업을 완료하기가 어려웠습니다.,Korean,Negative
Python for Data Science,"Курс отлично объясняет основы Python, а практические задания действительно полезны.",Russian,Positive
Python for Data Science,"Материал хороший, но некоторым темам хотелось бы уделить больше времени.",Russian,Neutral
Python for Data Science,"Последние уроки оказались слишком сложными, а объяснения недостаточно подробными.",Russian,Negative
Digital Marketing Fundamentals,Практические примеры маркетинга были интересными и помогли лучше понять материал.,Russian,Positive
Digital Marketing Fundamentals,"Курс содержит полезную информацию, но практических примеров немного.",Russian,Neutral
Digital Marketing Fundamentals,Некоторые разделы выглядят устаревшими и требуют обновления.,Russian,Negative
UI UX Design Essentials,Curso muy claro y práctico; las actividades de diseño me ayudaron mucho.,Spanish,Positive
UI UX Design Essentials,"El contenido es útil, aunque me hubiera gustado practicar más las pruebas de usabilidad.",Spanish,Neutral
UI UX Design Essentials,Las instrucciones del proyecto final no fueron claras y me costó completarlo.,Spanish,Negative
Graphic Design with Canva,Le cours est intéressant et les exercices pratiques sont vraiment utiles.,French,Positive
Graphic Design with Canva,"Le contenu est correct, mais certaines leçons manquent d'exemples.",French,Neutral
Graphic Design with Canva,Les explications avancées sont trop courtes et difficiles à appliquer.,French,Negative
Excel for Beginners,Der Kurs ist sehr verständlich und die praktischen Übungen haben mir gut gefallen.,German,Positive
Excel for Beginners,"Die Inhalte sind nützlich, aber ich hätte gerne mehr Übungsdateien gehabt.",German,Neutral
Excel for Beginners,"Einige Formeln werden nicht ausführlich genug erklärt, was die Aufgaben schwierig macht.",German,Negative
Web Development Basics,The HTML and CSS demonstrations are useful for beginners.,English,Positive
Web Development Basics,"The course explains the basics, but JavaScript examples could be expanded.",English,Neutral
Web Development Basics,Several coding tasks were difficult because the expected output was not explained clearly.,English,Negative
Digital Art Fundamentals,The creative exercises made the course enjoyable and helped me experiment with new ideas.,English,Positive
Digital Art Fundamentals,"The lessons are informative, although some techniques require additional practice.",English,Neutral
Digital Art Fundamentals,The project instructions were too vague and I was unsure how to complete the final artwork.,English,Negative
PowerPoint Presentation Design,The presentation exercises taught me how to create cleaner and more professional slides.,English,Positive
PowerPoint Presentation Design,"The course is useful, but it focuses more on basic features than advanced presentation design.",English,Neutral
PowerPoint Presentation Design,The examples were repetitive and did not provide enough variety for practice.,English,Negative
